COUNTY Name,COUNTY Id,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Baringo,BA,"32,591",226,"4,460",119,392,"2,594","2,833","15,686",262,"2,713","1,584","3,700","1,812","1,400","12,156","6,558","2,962","1,718",-431
Bomet,BO,"103,861","1,116","15,088",380,596,"15,513","1,551","17,994","1,181","1,258","1,246","4,232","2,171","1,284","12,041","9,709","3,317","2,725",-466
Bungoma,BU,"107,476",546,"8,342",617,834,"7,993","12,505","38,652","2,546","4,690","3,498","11,496","3,785","2,308","19,915","22,167","4,390","5,226","-1,286"
Busia,BS,"39,408",530,"5,746",211,601,"11,332","3,196","15,451",202,"1,288","1,618","4,998","1,822","1,077","11,808","10,185","3,123","3,450",-498
Elgeyo-Marakwet,EA,"73,655",873,"2,698",136,280,"1,524","2,471","15,031",259,"1,621",431,"3,593",794,636,"8,198","5,278","2,465",911,-111
Embu,EM,"50,858",409,"4,266","19,161","1,295","17,190","11,619","39,527","1,890","2,674","3,569","8,281","2,308","1,508","10,561","6,993","3,763","2,956",-892
Garissa,GA,"19,982","1,005","1,418",456,"1,018","3,049","6,473","3,394",664,966,"1,265","4,508",284,536,"14,749","3,777","4,166","1,280",-509
HomaBay,HB,"69,488",767,"9,323",186,628,"3,512","5,955","21,699","1,492","2,138","1,408","6,188","2,942","1,560","12,508","13,792","4,588","4,531",-510
Isiolo,IS,"4,070",72,579,247,271,"3,862","3,312","2,320",600,745,626,"1,929",482,674,"7,676","1,264","2,050",962,-255
Kajiado,KA,"16,966","5,036","10,751","5,857",818,"19,038","10,370","24,045","4,942","7,010","6,142","32,857","5,656","3,928","14,881","6,991","5,544","8,811","-2,230"
Kakamega,KK,"104,332","2,595","20,384",618,"1,655","4,952","16,990","28,878","2,741","7,224","4,025","17,228","4,507","2,977","22,576","26,731","3,251","6,216","-1,397"
Kericho,KC,"88,957",263,"17,518","1,457",762,"6,820","13,608","20,723","2,396","3,177","4,591","8,898","2,718","1,713","12,419","12,249","4,185","3,434","-1,447"
Kiambu,KM,"129,360","7,399","89,309","11,157","5,826","120,971","38,219","87,929","6,573","15,801","23,340","64,674","20,467","13,244","22,113","34,996","13,160","23,899","-7,231"
Kilifi,KL,"50,640","5,999","48,324","1,506","2,413","3,131","13,141","41,297","4,774","7,219","4,455","22,410","4,331","2,663","16,442","15,057","5,253","7,329","-1,586"
Kirinyaga,KR,"68,366","2,563","8,115",584,603,981,"9,050","22,024","5,853",3265,"2,732","9,346","3,208","1,583","9,898","6,169","3,890","3,669",-990
Kisii,KI,"114,609",739,"6,221",510,791,"9,483","12,776","46,066","2,681","1,687","5,742","10,996","3,661","2,493","16,674","14,713","5,732","3,973","-1,795"
Kisumu,KS,"51,868","2,943","35,763","5,602","2,270","24,044","22,519","58,925","5,434","5,342","15,158","36,094","5,729","3,774","12,180","16,663","5,645","7,277","-4,578"
Kitui,KT,"49,298","1,169","4,166",99,"1,289","4,605","7,506","29,977","2,059","3,512","2,275","8,441","2,686","1,826","17,344","15,618","6,045","4,656",-902
Kwale,KW,"47,492","16,388","7,028",411,712,"6,468","2,203","17,155","5,175","2,619","1,702","11,283","1,906","1,174","15,544","7,093","4,045","3,521",-556
Laikipia,LI,"31,743",210,"2,933",394,"1,390","11,995","11,734","20,021","2,426","2,729","3,240","7,222","1,869","1,792","10,853","6,011","1,365","2,684","-1,034"
Lamu,LA,"11,228",226,"1,297",93,100,217,"3,008","10,292",337,855,508,"2,352",431,346,"5,600","1,220","1,423",834,-203
Machakos,MC,"61,646","17,349","78,577","4,694","1,376","35,180","36,346","30,164","4,612","9,266","7,096","34,880","7,584","4,609","16,728","15,513","5,544","9,402","-2,121"
Makueni,MK,"33,401","1,147","4,950",204,732,"6,580","12,138","9,868","2,126","2,624","1,688","6,504","3,115","1,849","12,910","12,117","4,218","5,027",-660
Mandera,MA,"18,328",320,"1,348",407,344,"5,231","1,661","2,743",150,869,867,"3,860",230,385,"17,825","3,859","3,801","1,089",-170
Marsabit,MB,"17,155",129,741,"14,518",153,"16,157","1,913","3,435",206,895,912,"2,428",357,474,"8,989","2,174","2,492","1,081",-345
Meru,MU,"214,119","5,660","19,637","1,689","1,004","9,704","11,821","50,606","1,031","4,638","9,414","22,355","5,269","2,939","20,073","15,725","6,789","7,377","-2,429"
Migori,MI,"61,688","10,836","4,957",351,657,"1,757","5,265","20,649","1,714","2,448","1,466","5,761","2,521","1,303","11,956","17,403","3,821","4,100",-539
Mombasa,MO,"4,731","2,081","104,389","11,041","1,758","81,502","67,403","90,249","13,991","16,084","57,111","62,518","8,228","6,572","22,971","8,737","9,654","13,059","-17,933"
Murang'a,MR,"115,793","4,009","10,975","2,094","1,228","16,011","6,722","23,991","3,082","3,988","3,531","12,897","4,632","2,670","14,755","12,056","5,483","5,036","-1,361"
Nairobi,NI,"7,092","1,358","390,607","25,966","18,697","387,745","498,203","454,351","32,024","150,453","756,629","566,286","43,548","34,456","48,265","50,274","42,123","61,110","-189,833"
Nakuru,NA,"130,767","1,070","42,083","52,372","3,517","35,682","64,100","96,049","10,796","10,391","37,537","32,376","9,543","6,770","24,184","25,949","10,541","13,065","-6,276"
Nandi,NN,"106,707","1,066","14,367",447,561,"2,195","4,382","16,561","1,507","2,387","1,620","7,498","2,215","1,227","12,376","9,840","5,645","3,203",-625
Narok,NK,"108,371",383,"9,148",345,706,"2,227","7,197","23,683","1,477","6,204","2,066","10,616","1,716","1,350","20,236","12,433","6,098","3,598",-723
Nyamira,NM,"71,724","2,476","7,372",306,377,"5,544","5,727","18,605","1,571","1,477",911,"5,354","1,262","1,044","8,444","6,965","4,394","1,487",-364
Nyandarua,NY,"142,236","1,276","2,545",283,416,970,"2,429","12,465","1,800","1,440","1,712","5,611","2,340","1,367","10,891","6,858","1,942","2,430",-622
Nyeri,NE,"90,757","4,034","13,426","1,146","2,163","2,909","23,847","36,105","2,621","6,269","8,757","14,180","4,212","3,302","11,012","11,052","5,076","4,277","-2,110"
Samburu,SA,"5,459",85,"1,284",62,158,"1,375","2,631","3,094","1,811",425,478,"2,710",350,655,"8,861","2,090","1,854",674,-156
Siaya,SI,"54,262","2,044","3,566",461,769,"9,126","1,466","17,211",570,"2,954","1,004","7,368","2,980","1,258","10,411","13,511","3,420","4,812",-383
TaitaTaveta,TT,"17,683","1,308","2,746",226,659,"4,314","14,653","1,257","1,447","1,663","1,263","5,474","1,287","1,091","9,407","3,537",876,"1,966",-465
TanaRiver,TR,"11,855",102,817,74,203,244,"1,614","4,332",49,976,358,"2,255",379,412,"7,609","2,027","1,214",780,-138
Tharaka-Nithi,TN,"26,206",331,"3,197",111,369,"6,951","1,807","9,800","1,575","1,822",930,"2,900","1,425",905,"8,373","7,549","2,533","1,520",-302
TransNzoia,TZ,"67,591",491,"5,918",376,475,"5,474","18,971","35,971","2,572","5,862","3,523","10,357","2,399","1,390","10,923","11,558","3,326","4,516","-1,227"
Turkana,TU,"40,214","1,482","2,655",45,446,"6,727","6,675","27,757",431,"1,091","1,388","8,314",625,883,"21,067","5,403","2,033","1,826",-366
UasinGishu,UG,"64,460","1,283","13,613","3,065","2,171","15,167","25,907","55,396","5,119","3,200","18,196","24,209","6,034","3,235","16,181","24,518","12,511","7,444","-6,012"
Vihiga,VI,"39,160","2,999","1,399",296,479,"8,394","3,828","10,054",49,"1,020",959,"7,539","1,552","1,134","9,118","8,315","2,993","2,269",-373
Wajir,WA,"23,296",809,"1,285",55,309,"6,429","1,197","4,732",56,428,500,"1,900",246,294,"13,628","2,926","3,130",942,-214
WestPokot,WP,"28,555","5,100",959,"4,982",294,904,"3,167","17,343",465,899,365,"2,184",391,454,"8,539","7,078","2,464",972,-130
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
